link,title
https://www.dlsu.edu.ph/109990-2,"No Crowns Given, Only Taken: Lady Spikers Reload for UAAP Season 87 - De La Salle University"
https://www.dlsu.edu.ph/dlsu-inaugurates-kist-park-at-laguna-campus,"DLSU inaugurates KIST Park at Laguna Campus - De La Salle University"
https://www.dlsu.edu.ph/lady-jins-secure-podium-finish-to-end-uaap-season-87-campaign,"Lady Jins secure podium finish to end UAAP Season 87 campaign - De La Salle University"
https://www.dlsu.edu.ph/green-jins-end-11-year-championship-drought-with-5-0-league-sweep,"Green Jins end 11-year championship drought with 5–0 league sweep - De La Salle University"
https://www.dlsu.edu.ph/dlsu-woodpushers-reap-double-bronze-glory-in-s87-blitz-chess-tournament,"DLSU Woodpushers reap double bronze glory in S87 Blitz Chess Tournament - De La Salle University"
https://www.dlsu.edu.ph/the-dynasty-begins-green-aces-etch-legacy-with-back-to-back-championship-in-s87,"The Dynasty Begins: Green Aces etch legacy with back-to-back championship in S87 - De La Salle University"
https://www.dlsu.edu.ph/back-to-reign-green-archers-take-their-stand-in-season-88,"Back to Reign: Green Archers Take Their Stand in Season 88 - De La Salle University"
https://www.dlsu.edu.ph/mentality-in-the-court-green-spikers-seek-redemption-in-season-87,"Mentality In The Court: Green Spikers Seek Redemption in Season 87 - De La Salle University"
https://www.dlsu.edu.ph/three-for-glory-green-archers-secure-historic-3x3-three-peat,"Three for Glory: Green Archers secure historic 3x3 three-peat - De La Salle University"
https://www.dlsu.edu.ph/dlsu-woodpushers-cap-off-impressive-s87-run-with-new-milestones,"DLSU Woodpushers cap off impressive S87 run with new milestones - De La Salle University"
https://www.dlsu.edu.ph/hungry-for-more-green-booters-go-all-in-as-they-enter-season-87,"Hungry for More: Green Booters Go All In as They Enter Season 87 - De La Salle University"
https://www.dlsu.edu.ph/green-archers-clinch-finals-ticket-with-gritty-victory-over-nccu,"Green Archers clinch Finals ticket with gritty victory over NCCU - De La Salle University"
https://www.dlsu.edu.ph/viridis-arcus-clinch-uaap-valorant-gold-for-dlsu,"Viridis Arcus clinch UAAP Valorant gold for DLSU - De La Salle University"
https://www.dlsu.edu.ph/scholarships,"Scholarships - De La Salle University"
https://www.dlsu.edu.ph/southgate,"Log In ‹ De La Salle University — WordPress"
https://www.dlsu.edu.ph/Privacy,"Privacy - De La Salle University"
https://www.dlsu.edu.ph/contact-us-2,"Contact Information - De La Salle University"
https://www.dlsu.edu.ph/terms,"Terms - De La Salle University"
